chat_history,target_class,target_sentiment
Customer: I can't log in to my account. Admin: Let me assist you.,support,negative
Customer: I love your service! Admin: Thank you!,feedback,positive
Customer: I'm not happy with my order. Admin: I'm sorry to hear that.,complaint,negative
Customer: لقد أضفت طلبي ولكني لم أتلقى تأكيد بعد. Admin: سنتحقق من الأمر.,orders,negative
Customer: I need help with my password reset. Admin: I can help with that.,support,negative
Customer: My order hasn't arrived yet. Admin: We'll check the status for you.,orders,negative
Customer: This is the best product I've bought! Admin: We're happy to hear that!,feedback,positive
Customer: أريد استعادة أموالي. Admin: سننظر في طلبك.,complaint,negative
Customer: My app keeps crashing. Admin: Have you tried updating it?,support,negative
Customer: خدماتكم رائعة! Admin: نشكركم على رأيكم.,feedback,positive
Customer: My payment was declined. Admin: Please try again or use a different card.,orders,negative
Customer: I don't like how slow the process is. Admin: We're working on improving it.,complaint,negative
Customer: كل شيء على ما يرام الآن. Admin: رائع!,feedback,positive
Customer: I'm having trouble tracking my shipment. Admin: I’ll send you the tracking link.,support,negative
Customer: I need help choosing the right product. Admin: Let me recommend something.,support,positive
Customer: I received a broken item. Admin: We will send a replacement.,complaint,negative
Customer: خدماتكم بطيئة للغاية. Admin: نعتذر عن الإزعاج، سنحسن الخدمة قريبًا.,complaint,negative
Customer: My issue still isn't resolved. Admin: We're escalating this for you.,support,negative
"Customer: I need to change my shipping address. Admin: Sure, I'll update it.",orders,negative
Customer: لقد واجهت مشكلة في الدفع. Admin: سنقوم بالتحقق من الأمر.,complaint,negative
Customer: The product is amazing. Admin: So happy to hear that!,feedback,positive
Customer: My account was suspended. Admin: I will look into it for you.,support,negative
Customer: شكرا على المساعدة الفعالة. Admin: سعداء بتقديم المساعدة.,feedback,positive
Customer: This is my favorite service! Admin: Thanks for your loyalty!,feedback,positive
"Customer: I placed my order two days ago, but it's still not confirmed. Admin: Let me look into that.",support,negative
Customer: I can't download the invoice. Admin: Let me email it to you.,orders,negative
Customer: I didn’t get a refund yet. Admin: We're processing it.,complaint,negative
Customer: الطلب تأخر بشكل كبير. Admin: سنتحقق من السبب.,orders,negative
Customer: Everything went smoothly! Admin: That's wonderful to hear!,feedback,positive
Customer: My payment is stuck. Admin: I'll check the payment status.,support,negative
Customer: تجربتي سيئة مع هذا المنتج. Admin: نعتذر وسنعالج المسألة.,feedback,negative
Customer: Can I cancel my order? Admin: Let me cancel it for you.,orders,negative
Customer: المنتج ممتاز جداً! Admin: شكراً لك على رأيك.,feedback,positive
Customer: I can't access my order history. Admin: Let me reset your access.,support,negative
Customer: ما عندي أي مشكلة مع الخدمة. Admin: شكراً لملاحظاتك.,feedback,positive
Customer: I lost my password. Admin: I will send a password reset link.,complaint,negative
Customer: Why was my order canceled? Admin: I'll check and let you know.,orders,negative
Customer: كل شيء تمام. Admin: نحن سعداء بذلك!,feedback,positive
Customer: I need technical support. Admin: I’ll transfer you to our tech team.,complaint,negative
Customer: I'm unhappy with the refund process. Admin: We're working to improve it.,feedback,negative
Customer: خدماتكم سيئة للغاية. Admin: نعتذر عن الإزعاج.,feedback,negative
Customer: I'm satisfied with the product quality. Admin: That's great to hear!,feedback,positive
Customer: When will my order be shipped? Admin: Let me check the delivery status.,support,negative
Customer: الدفع لم يتم حتى الآن. Admin: سنتأكد من ذلك.,complaint,negative
Customer: I can't find the product I want. Admin: I’ll help you search for it.,support,negative
Customer: المنتج وصلني بسرعة. Admin: نحن سعداء لسماع ذلك!,support,positive
Customer: I’m experiencing issues with the mobile app. Admin: Please try reinstalling it.,support,negative
Customer: I’d like to leave feedback. Admin: We'd love to hear your thoughts.,feedback,natural
Customer: أواجه مشكلة في التتبع. Admin: سأرسل لك الرابط للتتبع.,support,negative
Customer: I'm trying to update my account info. Admin: I'll guide you through the process.,support,negative
